,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
μ[54],7.119,0.034,7.06,7.183,0.0,0.0,7600.0,2755.0,1.0
μ[55],7.134,0.034,7.074,7.197,0.0,0.0,7585.0,2755.0,1.0
μ[56],7.15,0.033,7.089,7.212,0.0,0.0,7569.0,2755.0,1.0
μ[57],7.165,0.033,7.105,7.227,0.0,0.0,7555.0,2755.0,1.0
μ[58],7.18,0.033,7.12,7.242,0.0,0.0,7539.0,2755.0,1.0
μ[59],7.195,0.033,7.135,7.256,0.0,0.0,7518.0,2715.0,1.0
μ[60],7.21,0.033,7.15,7.271,0.0,0.0,7504.0,2754.0,1.0
μ[61],7.225,0.033,7.166,7.286,0.0,0.0,7482.0,2734.0,1.0
μ[62],7.24,0.033,7.181,7.301,0.0,0.0,7461.0,2735.0,1.0
μ[63],7.256,0.033,7.197,7.316,0.0,0.0,7445.0,2735.0,1.0
μ[64],7.271,0.032,7.212,7.331,0.0,0.0,7434.0,2735.0,1.0
μ[65],7.286,0.032,7.228,7.346,0.0,0.0,7415.0,2775.0,1.0
μ[66],7.301,0.032,7.243,7.361,0.0,0.0,7396.0,2775.0,1.0
μ[67],7.316,0.032,7.259,7.376,0.0,0.0,7378.0,2795.0,1.0
μ[68],7.331,0.032,7.274,7.39,0.0,0.0,7355.0,2816.0,1.0
μ[69],7.346,0.032,7.289,7.405,0.0,0.0,7337.0,2815.0,1.0
μ[70],7.361,0.032,7.305,7.42,0.0,0.0,7327.0,2880.0,1.0
μ[71],7.377,0.032,7.32,7.435,0.0,0.0,7304.0,2946.0,1.0
μ[72],7.392,0.031,7.335,7.45,0.0,0.0,7287.0,2946.0,1.0
μ[73],7.407,0.031,7.351,7.465,0.0,0.0,7272.0,2924.0,1.0
μ[74],7.422,0.031,7.366,7.48,0.0,0.0,7256.0,2946.0,1.0
μ[75],7.437,0.031,7.382,7.496,0.0,0.0,7234.0,2946.0,1.0
μ[76],7.452,0.031,7.396,7.509,0.0,0.0,7217.0,2946.0,1.0
μ[77],7.467,0.031,7.412,7.525,0.0,0.0,7194.0,2969.0,1.0
μ[78],7.483,0.031,7.425,7.538,0.0,0.0,7171.0,2969.0,1.0
μ[79],7.498,0.031,7.441,7.553,0.0,0.0,7147.0,2969.0,1.0
μ[80],7.513,0.03,7.455,7.566,0.0,0.0,7125.0,2969.0,1.0
