,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
σ[72],0.643,0.022,0.603,0.685,0.0,0.0,7659.0,2648.0,1.0
σ[73],0.369,0.012,0.345,0.392,0.0,0.0,9680.0,2827.0,1.0
σ[74],0.456,0.016,0.429,0.486,0.0,0.0,11125.0,3022.0,1.0
μ_Albania[0],6.304,0.039,6.232,6.377,0.0,0.0,8771.0,3056.0,1.0
μ_Albania[1],6.319,0.039,6.246,6.391,0.0,0.0,8757.0,3032.0,1.0
μ_Albania[2],6.334,0.039,6.261,6.405,0.0,0.0,8744.0,3032.0,1.0
μ_Albania[3],6.349,0.039,6.278,6.421,0.0,0.0,8736.0,3032.0,1.0
μ_Albania[4],6.364,0.039,6.293,6.436,0.0,0.0,8729.0,3032.0,1.0
μ_Albania[5],6.379,0.039,6.308,6.451,0.0,0.0,8720.0,2956.0,1.0
μ_Albania[6],6.395,0.039,6.324,6.466,0.0,0.0,8704.0,2956.0,1.0
μ_Albania[7],6.41,0.038,6.339,6.481,0.0,0.0,8684.0,2956.0,1.0
μ_Albania[8],6.425,0.038,6.355,6.496,0.0,0.0,8668.0,3003.0,1.0
μ_Albania[9],6.44,0.038,6.37,6.511,0.0,0.0,8653.0,3003.0,1.0
μ_Albania[10],6.455,0.038,6.385,6.526,0.0,0.0,8641.0,3003.0,1.0
μ_Albania[11],6.47,0.038,6.401,6.541,0.0,0.0,8628.0,3003.0,1.0
μ_Albania[12],6.485,0.038,6.416,6.556,0.0,0.0,8614.0,3028.0,1.0
μ_Albania[13],6.5,0.038,6.432,6.57,0.0,0.0,8602.0,3030.0,1.0
μ_Albania[14],6.516,0.038,6.447,6.585,0.0,0.0,8586.0,3030.0,1.0
μ_Albania[15],6.531,0.037,6.462,6.6,0.0,0.0,8571.0,3028.0,1.0
μ_Albania[16],6.546,0.037,6.477,6.615,0.0,0.0,8553.0,3028.0,1.0
μ_Albania[17],6.561,0.037,6.494,6.631,0.0,0.0,8540.0,3028.0,1.0
μ_Albania[18],6.576,0.037,6.509,6.645,0.0,0.0,8523.0,3075.0,1.0
μ_Albania[19],6.591,0.037,6.524,6.66,0.0,0.0,8505.0,3077.0,1.0
μ_Albania[20],6.606,0.037,6.54,6.675,0.0,0.0,8489.0,3077.0,1.0
μ_Albania[21],6.621,0.037,6.555,6.69,0.0,0.0,8473.0,3077.0,1.0
μ_Albania[22],6.637,0.036,6.569,6.704,0.0,0.0,8454.0,3077.0,1.0
μ_Albania[23],6.652,0.036,6.585,6.718,0.0,0.0,8437.0,3050.0,1.0
μ_Albania[24],6.667,0.036,6.6,6.734,0.0,0.0,8422.0,3125.0,1.0
μ_Albania[25],6.682,0.036,6.616,6.749,0.0,0.0,8404.0,3113.0,1.0
μ_Albania[26],6.697,0.036,6.63,6.763,0.0,0.0,8391.0,3050.0,1.0
μ_Albania[27],6.712,0.036,6.647,6.779,0.0,0.0,8377.0,3108.0,1.0
μ_Albania[28],6.727,0.036,6.662,6.794,0.0,0.0,8361.0,3103.0,1.0
μ_Albania[29],6.742,0.036,6.676,6.807,0.0,0.0,8347.0,3103.0,1.0
μ_Albania[30],6.758,0.035,6.692,6.822,0.0,0.0,8333.0,3122.0,1.0
μ_Albania[31],6.773,0.035,6.707,6.837,0.0,0.0,8314.0,3122.0,1.0
μ_Albania[32],6.788,0.035,6.722,6.851,0.0,0.0,8300.0,3152.0,1.0
μ_Albania[33],6.803,0.035,6.737,6.866,0.0,0.0,8286.0,3179.0,1.0
μ_Albania[34],6.818,0.035,6.753,6.881,0.0,0.0,8259.0,3193.0,1.0
μ_Albania[35],6.833,0.035,6.768,6.896,0.0,0.0,8242.0,3131.0,1.0
μ_Albania[36],6.848,0.035,6.783,6.911,0.0,0.0,8224.0,3131.0,1.0
μ_Albania[37],6.863,0.035,6.8,6.927,0.0,0.0,8209.0,3170.0,1.0
μ_Albania[38],6.879,0.034,6.816,6.942,0.0,0.0,8194.0,3170.0,1.0
μ_Albania[39],6.894,0.034,6.829,6.955,0.0,0.0,8170.0,3169.0,1.0
μ_Albania[40],6.909,0.034,6.846,6.972,0.0,0.0,8154.0,3169.0,1.0
μ_Albania[41],6.924,0.034,6.862,6.987,0.0,0.0,8133.0,3168.0,1.0
μ_Albania[42],6.939,0.034,6.877,7.002,0.0,0.0,8118.0,3168.0,1.0
μ_Albania[43],6.954,0.034,6.893,7.017,0.0,0.0,8100.0,3196.0,1.0
μ_Albania[44],6.969,0.034,6.906,7.03,0.0,0.0,8077.0,3169.0,1.0
μ_Albania[45],6.984,0.034,6.924,7.048,0.0,0.0,8059.0,3169.0,1.0
μ_Albania[46],7.0,0.033,6.94,7.063,0.0,0.0,8042.0,3116.0,1.0
μ_Albania[47],7.015,0.033,6.955,7.078,0.0,0.0,8018.0,3116.0,1.0
μ_Albania[48],7.03,0.033,6.97,7.093,0.0,0.0,8000.0,3116.0,1.0
μ_Albania[49],7.045,0.033,6.986,7.107,0.0,0.0,7982.0,3168.0,1.0
μ_Albania[50],7.06,0.033,7.001,7.123,0.0,0.0,7965.0,3143.0,1.0
μ_Albania[51],7.075,0.033,7.016,7.137,0.0,0.0,7948.0,3143.0,1.0
μ_Albania[52],7.09,0.033,7.032,7.152,0.0,0.0,7926.0,3169.0,1.0
μ_Albania[53],7.106,0.033,7.044,7.164,0.0,0.0,7910.0,3169.0,1.0
μ_Albania[54],7.121,0.032,7.057,7.177,0.0,0.0,7892.0,3169.0,1.0
μ_Albania[55],7.136,0.032,7.073,7.192,0.0,0.0,7872.0,3169.0,1.0
μ_Albania[56],7.151,0.032,7.088,7.207,0.0,0.0,7852.0,3169.0,1.0
μ_Albania[57],7.166,0.032,7.103,7.221,0.0,0.0,7831.0,3169.0,1.0
μ_Albania[58],7.181,0.032,7.119,7.236,0.0,0.0,7804.0,3196.0,1.0
μ_Albania[59],7.196,0.032,7.134,7.251,0.0,0.0,7785.0,3213.0,1.0
μ_Albania[60],7.211,0.032,7.149,7.266,0.0,0.0,7764.0,3213.0,1.0
μ_Albania[61],7.227,0.032,7.168,7.284,0.0,0.0,7743.0,3213.0,1.0
μ_Albania[62],7.242,0.031,7.183,7.299,0.0,0.0,7727.0,3186.0,1.0
μ_Albania[63],7.257,0.031,7.196,7.312,0.0,0.0,7706.0,3185.0,1.0
μ_Albania[64],7.272,0.031,7.211,7.326,0.0,0.0,7684.0,3175.0,1.0
μ_Albania[65],7.287,0.031,7.227,7.341,0.0,0.0,7664.0,3175.0,1.0
μ_Albania[66],7.302,0.031,7.242,7.356,0.0,0.0,7643.0,3158.0,1.0
μ_Albania[67],7.317,0.031,7.257,7.371,0.0,0.0,7625.0,3186.0,1.0
μ_Albania[68],7.332,0.031,7.272,7.386,0.0,0.0,7609.0,3186.0,1.0
μ_Albania[69],7.348,0.031,7.288,7.401,0.0,0.0,7588.0,3159.0,1.0
μ_Albania[70],7.363,0.03,7.303,7.415,0.0,0.0,7557.0,3159.0,1.0
μ_Albania[71],7.378,0.03,7.32,7.432,0.0,0.0,7538.0,3159.0,1.0
μ_Albania[72],7.393,0.03,7.335,7.447,0.0,0.0,7518.0,3149.0,1.0
μ_Albania[73],7.408,0.03,7.35,7.462,0.0,0.0,7499.0,3149.0,1.0
μ_Albania[74],7.423,0.03,7.366,7.476,0.0,0.0,7478.0,3149.0,1.0
μ_Albania[75],7.438,0.03,7.381,7.491,0.0,0.0,7458.0,3230.0,1.0
μ_Albania[76],7.453,0.03,7.397,7.506,0.0,0.0,7438.0,3202.0,1.0
μ_Albania[77],7.469,0.03,7.412,7.521,0.0,0.0,7418.0,3163.0,1.0
μ_Albania[78],7.484,0.03,7.427,7.536,0.0,0.0,7396.0,3190.0,1.0
μ_Albania[79],7.499,0.029,7.443,7.551,0.0,0.0,7375.0,3190.0,1.0
μ_Albania[80],7.514,0.029,7.458,7.566,0.0,0.0,7352.0,3190.0,1.0
μ_Albania[81],7.529,0.029,7.473,7.581,0.0,0.0,7331.0,3190.0,1.0
μ_Albania[82],7.544,0.029,7.488,7.596,0.0,0.0,7305.0,3197.0,1.0
μ_Albania[83],7.559,0.029,7.504,7.611,0.0,0.0,7288.0,3197.0,1.0
μ_Albania[84],7.574,0.029,7.519,7.626,0.0,0.0,7270.0,3197.0,1.0
