,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
μ[284],16.278,0.063,16.167,16.404,0.001,0.001,5228.0,3146.0,1.0
μ[285],16.292,0.063,16.18,16.418,0.001,0.001,5213.0,3146.0,1.0
μ[286],16.305,0.064,16.193,16.432,0.001,0.001,5194.0,3145.0,1.0
μ[287],16.319,0.064,16.207,16.446,0.001,0.001,5181.0,3145.0,1.0
μ[288],16.333,0.064,16.206,16.446,0.001,0.001,5166.0,3145.0,1.0
μ[289],16.346,0.064,16.22,16.461,0.001,0.001,5150.0,3145.0,1.0
μ[290],16.36,0.064,16.233,16.475,0.001,0.001,5133.0,3145.0,1.0
μ[291],16.373,0.065,16.247,16.489,0.001,0.001,5114.0,3145.0,1.0
μ[292],16.387,0.065,16.26,16.503,0.001,0.001,5097.0,3145.0,1.0
μ[293],16.4,0.065,16.273,16.517,0.001,0.001,5075.0,3120.0,1.0
μ[294],16.414,0.065,16.286,16.531,0.001,0.001,5054.0,3120.0,1.0
μ[295],16.427,0.065,16.299,16.545,0.001,0.001,5034.0,3119.0,1.0
μ[296],16.441,0.066,16.314,16.56,0.001,0.001,5013.0,3145.0,1.0
μ[297],16.454,0.066,16.327,16.574,0.001,0.001,4993.0,3198.0,1.0
μ[298],16.468,0.066,16.341,16.589,0.001,0.001,4972.0,3226.0,1.0
μ[299],16.481,0.066,16.354,16.603,0.001,0.001,4952.0,3172.0,1.0
μ[300],16.495,0.066,16.367,16.617,0.001,0.001,4928.0,3146.0,1.0
μ[301],16.508,0.067,16.382,16.632,0.001,0.001,4904.0,3153.0,1.0
μ[302],16.522,0.067,16.395,16.646,0.001,0.001,4885.0,3173.0,1.0
μ[303],16.535,0.067,16.409,16.661,0.001,0.001,4864.0,3173.0,1.0
μ[304],16.549,0.067,16.417,16.669,0.001,0.001,4839.0,3227.0,1.0
μ[305],16.562,0.067,16.43,16.683,0.001,0.001,4818.0,3227.0,1.0
μ[306],16.576,0.068,16.453,16.707,0.001,0.001,4795.0,3255.0,1.0
μ[307],16.589,0.068,16.467,16.722,0.001,0.001,4770.0,3227.0,1.0
μ[308],16.603,0.068,16.48,16.736,0.001,0.001,4744.0,3227.0,1.0
μ[309],16.616,0.068,16.493,16.75,0.001,0.001,4720.0,3200.0,1.0
μ[310],16.63,0.069,16.492,16.75,0.001,0.001,4699.0,3207.0,1.0
μ[311],16.643,0.069,16.518,16.777,0.001,0.001,4678.0,3207.0,1.0
μ[312],16.657,0.069,16.529,16.789,0.001,0.001,4656.0,3207.0,1.0
μ[313],16.671,0.069,16.543,16.803,0.001,0.001,4633.0,3154.0,1.0
μ[314],16.684,0.07,16.56,16.82,0.001,0.001,4610.0,3234.0,1.0
μ[315],16.698,0.07,16.573,16.835,0.001,0.001,4586.0,3282.0,1.0
